fid,X,Y,CITY_NAME,CNTRY_NAME,POP,POP_RANK,max_dtw
"1745","-1.62700158325589","14.0990039767684",Djibo,Burkina Faso,"0","0","0.58266"
"1746","-3.06999857022385","13.0689989312545",Tougan,Burkina Faso,"0","0","0.52337"
"1747","-3.86000067920941","12.7289970327825",Nouna,Burkina Faso,"0","0","0.45744"
"1748","-3.46400059986689","12.4550009394625",Dedougou,Burkina Faso,"0","0","0.44736"
"1749","-2.41700369224145","13.5690030080568",Ouahigouya,Burkina Faso,"0","0","0.54558"
"1750","-2.26299566300912","12.9539970552975",Yako,Burkina Faso,"0","0","0.51221"
"1751","-1.29300260451601","12.5769959893673",Ziniare,Burkina Faso,"0","0","0.50813"
"1752","-1.67000367044631","12.4800030380904",Ouagadougou,Burkina Faso,"3662000","2","0.46431"
"1753","-2.46694467473969","12.3334920805478",Reo,Burkina Faso,"0","0","0.45592"
"1754","-2.36400258591999","12.2489999303597",Koudougou,Burkina Faso,"0","0","0.47493"
"1755","-1.33399770588966","12.0639959843685",Kombissiri,Burkina Faso,"0","0","0.48243"
"1756","-0.027998682839893","14.0339970309827",Dori,Burkina Faso,"0","0","0.60352"
"1757","-1.08800062026307","13.0879979446666",Kaya,Burkina Faso,"0","0","0.54534"
"1758","-0.13799666391435","12.968999969311",Bogande,Burkina Faso,"0","0","0.54395"
"1759","-0.568997695532175","12.6569970785325",Boulsa,Burkina Faso,"0","0","0.51264"
"1760","-0.611000592389246","12.2429970106276",Zorgo,Burkina Faso,"0","0","0.47066"
"1761","-0.356003677965077","12.1769999761096",Koupela,Burkina Faso,"0","0","0.45645"
"1762","-0.35900058703055","11.7739979521853",Tenkodogo,Burkina Faso,"0","0","0.46371"
"1763","-1.0649965713344","11.6620019214114",Manga,Burkina Faso,"0","0","0.49738"
"1764","-9.57799759751157","5.46499798941852",Rivercess,Liberia,"0","0",
"1765","-9.03699858481934","5.00799599980678",Greenville,Liberia,"0","0","0.40165"
"1766","-6.07899555503207","4.95099895957008",Sassandra,Cote d'Ivoire,"0","0",
"1767","-8.16669867446785","4.79999694100451",Barclayville,Liberia,"0","0","0.40635"
"1768","-6.63699569692074","4.76199907966372",San Pedro,Cote d'Ivoire,"164944","5",
"1769","-7.35699557038834","4.41600303209373",Tabou,Cote d'Ivoire,"0","0",
"1770","-7.71399859805666","4.38599703858324",Harper,Liberia,"0","0",
"1771","-6.40899859985666","10.4810039589332",Tingrela,Cote d'Ivoire,"0","0","0.45984"
"1772","-6.48899968902185","9.52200000830322",Boundiali,Cote d'Ivoire,"0","0","0.43733"
"1773","-7.57700063413847","9.50900408010687",Odienne,Cote d'Ivoire,"0","0","0.42081"
"1774","-5.64499761434877","9.44600395465442",Korhogo,Cote d'Ivoire,"243048","5","0.41475"
"1775","-9.74999667918871","8.41670105630577",Voinjama,Liberia,"0","0","0.42432"
"1776","-11.1850016328427","7.87699794614752",Kenema,Sierra Leone,"200443","5","0.47823"
"1777","-8.81800164752008","7.75500306172642",Nzerekore,Guinea,"195027","5","0.41315"
"1778","-9.26000055763495","7.56299700566976",Yomou,Guinea,"0","0","0.40356"
"1779","-8.68499961751701","7.37100005121419",Sanniquellie,Liberia,"0","0","0.39165"
"1780","-9.48329957361847","7.00000207049976",Gbarnga,Liberia,"0","0","0.42281"
"1781","-10.3490006930849","6.52599895169147",Kakata,Liberia,"0","0","0.43341"
"1782","-10.6000016735939","6.43329897749777",Bentol,Liberia,"0","0","0.42251"
"1783","-10.0439995814047","5.88300292735641",Buchanan,Liberia,"0","0","0.42927"
"1784","-10.7970026884155","6.3009989291765",Monrovia,Liberia,"0","0",
"1785","-11.1089966430763","10.7479979421877",Dabola,Guinea,"0","0","0.46072"
"1786","-9.89199870347301","10.6530030406104",Kouroussa,Guinea,"0","0","0.43002"
"1787","-9.3059995538909","10.3840020715387",Kankan,Guinea,"190722","5","0.39934"
"1788","-10.7430025572443","10.0389959472171",Faranah,Guinea,"0","0","0.41264"
"1789","-9.01400363749195","9.26499594257836",Kerouane,Guinea,"0","0","0.40658"
"1790","-10.1130026265893","9.1870020047138",Kissidougou,Guinea,"0","0","0.39911"
"1791","-8.65700060982363","8.68699792791136",Beyla,Guinea,"0","0","0.43479"
"1792","-10.1510006534136","8.55399606339204",Gueckedou,Guinea,"0","0","0.44144"
"1793","-9.47099669098617","8.5419989945616",Macenta,Guinea,"0","0","0.40155"
"1794","-7.68400170614751","8.27999997007192",Touba,Cote d'Ivoire,"0","0","0.40982"
"1795","-7.61669966749434","7.73330401693312",Biankouma,Cote d'Ivoire,"0","0","0.41172"
"1796","-7.54299870671287","7.40500197863986",Man,Cote d'Ivoire,"148945","5","0.41043"
"1797","-8.15399962395571","7.2610020701398",Danane,Cote d'Ivoire,"0","0","0.40776"
"1798","-7.48330163509513","7.01669705492702",Bangolo,Cote d'Ivoire,"0","0","0.41406"
"1799","-7.33599867276041","6.74199897992518",Duekoue,Cote d'Ivoire,"0","0","0.42739"
"1800","-7.48330163509513","6.55000202546983",Guiglo,Cote d'Ivoire,"0","0","0.43515"
"1801","-8.13329960401217","6.06670203469587",Zwedru,Liberia,"0","0","0.39715"
